Pattern source data files:,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20.DESI-329-v15.DESI-595-v4.GFArevB.wedge 36deg.edgeincl 6mm.ctrclr 50mm.offset 1/pos_on_z1.txt,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20.DESI-329-v15.DESI-595-v4.GFArevB.wedge 36deg.edgeincl 6mm.ctrclr 50mm.offset 1/pos_on_z4.txt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Device Types:,,# per petal,,,,,,,,,,,,,,,,,,,,,,,
,POS,500,Fiber Positioner,,,,,,,,,,,,,,,,,,,,,,
,"Additional fiducials will be included at the outer radius of several petals to break symmetries, so that overall orientation of plate is easily disambiguated.",,,,,,,,,,,,,,,,,,,,,,,,
,They will be placed in the following locations (location values are linked from the array below).,,,,,,,,,,,,,,,,,,,,,,,,
,device_location_id,device_type,X,Y,Z,preces,nutat,spin,petal_location_id,petal location note,,,,,,,,,,,,,,,
,533,FIF,373.055789,167.618750,-18.826166,24.194995,5.913457,-24.194995,0,north,,,,,,,,,,,,,,,
,532,FIF,378.312514,158.597059,-18.947493,22.744520,5.954657,-22.744520,0,north,,,,,,,,,,,,,,,
,533,FIF,373.055789,167.618750,-18.826166,24.194995,5.913457,-24.194995,1,north-northeast,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"The data in column V are the AutoRay results from Beam Four v188 using the associated files FS-Tilts.OPT, FS-Tilts.RAY, and FS-Tilts.MED that are included in this release of 0530.",,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,
,"For POS, (X,Y,Z) is patrol disk center.",,,,MLL check =,10.474479,"MLL concludes that ""preces"" swings a point around the Z axis to make its y=0,",,,,,,,,,,,,"ZfocalSurface,mm=",-11124.258,,MaxDiff=,0.001066,,
,"For FIF and GIF, (X,Y,Z) is fiducial center.",,,,MLL check =,7.684102,"then tilts around Y by ""nutat"", then swings it back to its original orientation via ""spin.""",,,,,,,,,,,,,,,MinDiff=,-0.001435,,
,Coordinates & angles on focal surface; hole coords are alongside. Angles are the same.,,,,MLL check =,23.145271,"So, ""nutat"" corresponds to the desired Chief Ray tilt at that radius in the X,Z plane. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MLL check,,,MLL check,MLL check,MLL check,MLL check,MLL check,,
,,,PATROL DISK / FIDUCIAL POSITIONS (ON FOCAL SURFACE Z0),,,,,,TOP HOLE POSITIONS (SPOTFACES ON PETAL SURFACE Z4),,,"AFT POSITIONS (BACK END OF POS, SURFACE Z6)",,,,to BEAM FOUR,MLL check,MLL check,Should equal col H,to BEAM FOUR,from BEAM FOUR,from BEAM FOUR,Nutat - ChiefRay,,
,device_location_id,device_type,X,Y,Z,preces,nutat,spin,X,Y,Z,X,Y,Z,,"FS Radius, mm","Top Radius, mm","Aft Radius, mm","hole angle,deg","Zfp,abs,mm",U0 chief ray,"Chief ray, deg",degrees,,
,0,POS,28.134375,5.201437,-0.082419,10.474479,0.252067,-10.474479,27.760169,5.132255,-86.581582,26.867699,4.967256,-292.879585,,28.6112,28.2306,27.3230,0.252067,-11124.340419,0.00438542439032,0.25127,0.000800,,
,1,POS,38.551296,5.201448,-0.152664,7.684102,0.343040,-7.684102,38.038059,5.132200,-86.651114,36.814004,4.967048,-292.947416,,38.9006,38.3827,37.1476,0.343040,-11124.410664,0.00597086560575,0.34211,0.000933,,
,2,POS,33.343493,14.253354,-0.132583,23.145270,0.319697,-23.145270,32.899693,14.063643,-86.631236,31.841243,13.611186,-292.928025,,36.2622,35.7795,34.6284,0.319697,-11124.390583,0.00556367833619,0.31878,0.000920,,
,3,POS,48.968106,5.201461,-0.245266,6.063302,0.434737,-6.063302,48.315457,5.132135,-86.742776,46.758908,4.966797,-293.036838,,49.2436,48.5873,47.0220,0.434737,-11124.503266,0.00757233297165,0.43387,0.000870,,
,4,POS,43.760371,14.255653,-0.214058,18.043862,0.406151,-18.043862,43.177361,14.065728,-86.711885,41.786899,13.612762,-293.006702,,46.0238,45.4107,43.9483,0.406151,-11124.472058,0.00707282696595,0.40525,0.000904,,
,5,POS,59.384810,5.201480,-0.360537,5.005728,0.527140,-5.005728,58.592027,5.132040,-86.856876,56.701264,4.966429,-293.148144,,59.6122,58.8164,56.9184,0.527140,-11124.618537,0.00918778669787,0.52643,0.000711,,
,6,POS,54.177144,14.256291,-0.318053,14.742720,0.495072,-14.742720,53.454344,14.066092,-86.814824,51.730487,13.612472,-293.107123,,56.0215,55.2741,53.4915,0.495072,-11124.576053,0.00862706913861,0.49430,0.000771,,
,7,POS,48.967142,23.345351,-0.298069,25.489726,0.479257,-25.489726,48.314038,23.033980,-86.795043,46.756405,22.29137,-293.087826,,54.2475,53.5239,51.7983,0.479257,-11124.556069,0.00835056036754,0.47846,0.000800,,
,8,POS,69.800289,5.201506,-0.498824,4.261795,0.620367,-4.261795,68.866324,5.131907,-86.993753,66.638843,4.965915,-293.281661,,69.9938,69.0573,66.8236,0.620367,-11124.756824,0.01081763261384,0.61982,0.000550,,
,9,POS,64.592763,14.249463,-0.444873,12.440458,0.585716,-12.440458,63.729279,14.058974,-86.940354,61.669895,13.604665,-293.229574,,66.1458,65.2616,63.1527,0.585716,-11124.702873,0.01021192627079,0.58511,0.000606,,
,10,POS,59.383858,23.337718,-0.413611,21.454711,0.564695,-21.454711,58.590420,23.025899,-86.909410,56.698091,22.282218,-293.19939,,63.8051,62.9526,60.9194,0.564695,-11124.671611,0.00984442188011,0.56405,0.000642,,
,11,FIF,54.182759,32.395574,-0.404797,30.874971,0.558629,-30.874971,53.458917,31.962793,-86.900685,51.732575,30.930622,-293.19088,,63.1288,62.2854,60.2741,0.558629,-11124.662797,0.00973836600617,0.55798,0.000653,,
,12,POS,80.215689,5.201540,-0.660539,3.710118,0.714589,-3.710118,79.139155,5.131733,-87.153811,76.571654,4.965245,-293.437767,,80.3842,79.3054,76.7325,0.714589,-11124.918539,0.01246368524071,0.71414,0.000454,,
,13,POS,75.008287,14.241437,-0.594928,10.750493,0.677869,-10.750493,74.002886,14.050547,-87.088874,71.605034,13.595279,-293.374436,,76.3483,75.3249,72.8842,0.677869,-11124.852928,0.01182239334764,0.67739,0.000480,,
,14,POS,69.800405,23.299254,-0.552079,18.458920,0.652831,-18.458920,68.865548,22.987200,-87.046464,66.63594,22.242961,-293.333073,,73.5864,72.6008,70.2503,0.652831,-11124.810079,0.01138496922858,0.65232,0.000506,,
,15,POS,64.599448,32.359504,-0.531959,26.607453,0.640752,-26.607453,63.734563,31.926262,-87.026550,61.671838,30.89299,-293.31365,,72.2511,71.2838,68.9768,0.640752,-11124.789959,0.01117388770849,0.64023,0.000522,,
,16,POS,90.630976,5.201583,-0.846101,3.284773,0.809963,-3.284773,89.410217,5.131520,-87.337458,86.498742,4.964421,-293.616844,,90.7801,89.5574,86.6411,0.809963,-11125.104101,0.01412802775129,0.80950,0.000460,,
,17,POS,85.423703,14.236912,-0.768639,9.462080,0.771490,-9.462080,84.274858,14.045443,-87.260798,81.534897,13.588795,-293.542096,,86.6020,85.4373,82.6595,0.771490,-11125.026639,0.01345686514281,0.77104,0.000445,,
,18,POS,80.215599,23.295915,-0.714161,16.194157,0.743325,-16.194157,79.137951,22.982949,-87.206882,76.56779,22.236532,-293.489521,,83.5299,82.4077,79.7314,0.743325,-11124.972161,0.01296533899144,0.74288,0.000445,,
,19,POS,75.016034,32.323704,-0.682426,23.310756,0.726448,-23.310756,74.008858,31.889721,-87.175474,71.606774,30.854686,-293.458892,,81.6837,80.5870,77.9714,0.726448,-11124.940426,0.01267072276031,0.72600,0.000450,,
,20,POS,69.786205,41.395803,-0.673227,30.675584,0.721486,-30.675584,68.849412,40.840116,-87.166369,66.615188,39.514818,-293.450013,,81.1402,80.0510,77.4532,0.721486,-11124.931227,0.01258409841995,0.72103,0.000451,,
,21,POS,101.046105,5.201632,-1.055932,2.946860,0.906614,-2.946860,99.679249,5.131269,-87.545103,96.419336,4.963456,-293.819277,,101.1799,99.8112,96.5470,0.906614,-11125.313932,0.01581316366640,0.90607,0.000549,,
,22,POS,95.838980,14.237022,-0.966431,8.449580,0.866593,-8.449580,94.544927,14.044788,-87.456537,91.458646,13.586317,-293.73294,,96.8907,95.5824,92.4623,0.866593,-11125.224431,0.01511553442820,0.86609,0.000504,,
,23,POS,90.630637,23.299708,-0.900149,14.417623,0.835835,-14.417623,89.408553,22.985530,-87.390945,86.493917,22.236223,-293.668994,,93.5777,92.3159,89.3065,0.835835,-11125.158149,0.01457923674912,0.83536,0.000477,,
,24,POS,85.432557,32.329622,-0.856874,20.727782,0.815180,-20.727782,84.281570,31.894062,-87.348120,81.536498,30.855264,-293.62724,,91.3451,90.1145,87.1794,0.815180,-11125.114874,0.01421903405680,0.81472,0.000462,,
,25,POS,80.200656,41.359380,-0.835814,27.280102,0.804952,-27.280102,79.120611,40.802402,-87.327277,76.544737,39.474027,-293.606918,,90.2372,89.0219,86.1237,0.804952,-11125.093814,0.01404063721124,0.80450,0.000456,,
,26,POS,111.461023,5.201688,-1.290443,2.671954,1.004652,-2.671954,109.946017,5.130986,-87.777146,106.332773,4.962362,-294.045432,,111.5823,110.0657,106.4485,1.004651,-11125.548443,0.01752181946240,1.00398,0.000674,,
,27,POS,106.254079,14.235969,-1.188700,7.631070,0.963210,-7.631070,104.812859,14.042874,-87.676478,101.375589,13.582347,-293.947326,,107.2035,105.7494,102.2814,0.963210,-11125.446700,0.01679956478637,0.96259,0.000621,,
,28,POS,101.045606,23.296309,-1.110389,12.982822,0.930201,-12.982822,99.677231,22.980826,-87.598990,96.413698,22.228411,-293.871802,,103.6963,102.2921,98.9429,0.930200,-11125.368389,0.01622426407984,0.92962,0.000578,,
,29,POS,95.848134,32.326855,-1.055354,18.637790,0.906360,-18.637790,94.551606,31.889573,-87.544531,91.459425,30.846668,-293.818719,,101.1528,99.7845,96.5212,0.906360,-11125.313354,0.01580874381166,0.90581,0.000548,,
,30,POS,90.614980,41.368525,-1.022718,24.538156,0.891952,-24.538156,89.390057,40.809310,-87.512237,86.468654,39.475599,-293.78724,,99.6114,98.2649,95.0534,0.891952,-11125.280718,0.01555760637536,0.89142,0.000531,,
,31,POS,85.361306,50.431334,-1.012965,30.574531,0.887605,-30.574531,84.207632,49.749745,-87.502586,81.456153,48.124175,-293.777831,,99.1457,97.8057,94.6099,0.887605,-11125.270965,0.01548182893503,0.88708,0.000526,,
,32,POS,121.875677,5.201751,-1.550013,2.443946,1.104193,-2.443946,120.210285,5.130671,-88.033950,116.238373,4.961146,-294.295641,,121.9866,120.3197,116.3442,1.104193,-11125.808013,0.01925701822636,1.10341,0.000779,,
,33,POS,116.668954,14.238986,-1.435858,6.958312,1.061409,-6.958312,115.078428,14.044869,-87.921016,111.28507,13.581905,-294.185618,,117.5346,115.9323,112.1108,1.061409,-11125.693858,0.01851110625856,1.06067,0.000740,,
,34,POS,111.460452,23.297031,-1.345338,11.805777,1.026398,-11.805777,109.943748,22.980015,-87.831459,106.326453,22.223942,-294.098357,,113.8692,112.3197,108.6242,1.026398,-11125.603338,0.01790085946475,1.02570,0.000700,,
,35,POS,106.263304,32.326987,-1.278351,16.920595,0.999806,-16.920595,104.819305,31.887700,-87.765181,101.375409,30.840012,-294.033773,,111.0717,109.5624,105.9626,0.999806,-11125.536351,0.01743736473543,0.99914,0.000668,,
,36,POS,101.029161,41.366600,-1.233845,22.266748,0.981789,-22.266748,99.657541,40.804987,-87.721146,96.386267,39.465557,-293.99086,,109.1700,107.6878,104.1530,0.981789,-11125.491845,0.01712336709441,0.98114,0.000644,,
,37,POS,95.776854,50.441734,-1.212562,27.773934,0.973069,-27.773934,94.477110,49.757212,-87.700088,91.377257,48.124647,-293.970337,,108.2477,106.7788,103.2753,0.973069,-11125.470562,0.01697138992119,0.97244,0.000633,,
,38,NON,90.539726,59.568980,-1.215569,33.342196,0.974305,-33.342196,89.310977,58.760547,-87.703063,86.380444,56.832456,-293.973236,,108.3785,106.9077,103.3998,0.974305,-11125.473569,0.01699293113221,0.97367,0.000635,,
,39,POS,132.290020,5.201820,-1.834975,2.251786,1.205388,-2.251786,130.471774,5.130324,-88.315833,126.135308,4.959808,-294.570181,,132.3923,130.5726,126.2328,1.205388,-11126.092975,0.02102204107270,1.20456,0.000825,,
,40,POS,127.083563,14.242436,-1.708249,6.394537,1.161285,-6.394537,125.341387,14.047188,-88.190482,121.186346,13.581527,-294.448109,,127.8792,126.1261,121.9450,1.161285,-11125.966249,0.02025266646629,1.16047,0.000813,,
,41,POS,121.875109,23.312745,-1.605420,10.828949,1.124460,-10.828949,120.207839,22.993823,-88.088762,116.231447,22.233204,-294.349034,,124.0848,122.3873,118.3388,1.124460,-11125.863420,0.01961042219296,1.12367,0.000794,,
,42,POS,116.677631,32.345810,-1.526342,15.494637,1.095439,-15.494637,115.084040,31.904029,-88.010533,111.283371,30.850393,-294.272829,,121.0782,119.4245,115.4805,1.095439,-11125.784342,0.01910438924006,1.09467,0.000772,,
,43,POS,111.443232,41.368033,-1.469701,20.365064,1.074245,-20.365064,109.922895,40.803680,-87.954498,106.296935,39.457714,-294.218239,,118.8735,117.2518,113.3841,1.074245,-11125.727701,0.01873487961451,1.07349,0.000753,,
,44,POS,106.192152,50.442824,-1.436591,25.408401,1.061688,-25.408401,104.744433,49.755137,-87.921741,101.291664,48.115021,-294.186325,,117.5638,115.9611,112.1386,1.061688,-11125.694591,0.01851598152808,1.06095,0.000740,,
,45,POS,100.955815,59.573706,-1.428027,30.544720,1.058419,-30.544720,99.579725,58.761679,-87.913268,96.297788,56.825019,-294.178069,,117.2225,115.6246,111.8139,1.058419,-11125.686027,0.01845901142509,1.05768,0.000735,,
,46,POS,142.704022,5.201895,-2.145600,2.087641,1.308433,-2.087641,140.730151,5.129943,-88.623046,136.022525,4.958339,-294.869255,,142.7988,140.8236,136.1129,1.308433,-11126.403600,0.02282040205172,1.30763,0.000807,,
,47,POS,137.497877,14.241743,-2.006158,5.913490,1.262986,-5.913490,135.601436,14.045313,-88.485144,131.078477,13.576835,-294.735024,,138.2335,136.3269,131.7797,1.262986,-11126.264158,0.02202713617657,1.26216,0.000822,,
,48,POS,132.289546,23.328109,-1.890884,10.000795,1.224435,-10.000795,130.469231,23.007112,-88.371133,126.127831,22.241544,-294.624027,,134.3307,132.4823,128.0739,1.224435,-11126.148884,0.02135438963376,1.22361,0.000826,,
,49,POS,127.093215,32.371519,-1.799643,14.289783,1.193225,-14.289783,125.347654,31.926913,-88.280886,121.184542,30.866539,-294.53615,,131.1511,129.3498,125.0537,1.193225,-11126.057643,0.02080983712086,1.19240,0.000823,,
,50,POS,121.857174,41.401574,-1.730894,18.765445,1.169265,-18.765445,120.185873,40.833741,-88.212882,116.19987,39.479477,-294.469925,,128.6983,126.9332,122.7234,1.169265,-11125.988894,0.02039185331090,1.16845,0.000817,,
,51,POS,116.607190,50.444640,-1.685510,23.393462,1.153226,-23.393462,115.009375,49.753420,-88.167989,111.198632,48.104881,-294.426203,,127.0508,125.3099,121.1578,1.153226,-11125.943510,0.02011209832584,1.15242,0.000810,,
,52,POS,111.371701,59.574862,-1.665163,28.143182,1.145975,-28.143182,109.846259,58.758874,-88.147862,106.208124,56.812765,-294.406599,,126.3045,124.5745,120.4486,1.145975,-11125.923163,0.01998563129660,1.14517,0.000806,,
,53,POS,106.147709,68.622231,-1.667694,32.881807,1.146879,-32.881807,104.693744,67.682274,-88.150366,101.22608,65.440503,-294.409038,,126.3976,124.6662,120.5370,1.146879,-11125.925694,0.02000139915932,1.14607,0.000807,,
,54,POS,153.117665,5.201978,-2.482086,1.945803,1.413569,-1.945803,150.985032,5.129524,-88.955762,145.898766,4.956725,-295.19298,,153.2060,151.0721,145.9829,1.413569,-11126.740086,0.02465597924480,1.41283,0.000742,,
,55,POS,147.911879,14.235958,-2.329817,5.497568,1.366717,-5.497568,145.858218,14.038301,-88.805209,140.960297,13.566894,-295.046519,,148.5954,146.5322,141.6117,1.366717,-11126.587817,0.02383794326345,1.36594,0.000774,,
,56,POS,142.703742,23.330238,-2.201928,9.284986,1.326455,-9.284986,140.727594,23.007163,-88.678748,136.014537,22.236639,-294.923465,,144.5983,142.5959,137.8203,1.326455,-11126.459928,0.02313502425467,1.32566,0.000797,,
,57,POS,137.506269,32.376499,-2.098242,13.249238,1.293135,-13.249238,135.606136,31.929104,-88.576213,131.074375,30.86208,-294.823672,,141.2665,139.3144,134.6587,1.293135,-11126.356242,0.02255337124458,1.29232,0.000812,,
,58,POS,132.271120,41.413641,-2.017254,17.385162,1.266648,-17.385162,130.446354,40.842313,-88.496118,126.094342,39.479713,-294.745708,,138.6028,136.6907,132.1304,1.266648,-11126.275254,0.02209104851616,1.26583,0.000821,,
,59,POS,127.021981,50.454549,-1.959713,21.663528,1.247566,-21.663528,125.271689,49.759313,-88.439209,121.097295,48.101197,-294.690306,,136.6757,134.7924,130.3007,1.247566,-11126.217713,0.02175802547867,1.24674,0.000825,,
,60,POS,121.787408,59.563824,-1.927184,26.062347,1.236677,-26.062347,120.110360,58.743613,-88.407036,116.110651,56.787434,-294.658983,,135.5729,133.7061,129.2536,1.236677,-11126.185184,0.02156798769113,1.23585,0.000827,,
,61,POS,116.563412,68.623975,-1.918115,30.486451,1.233627,-30.486451,114.958598,67.679178,-88.398066,111.131162,65.425865,-294.65025,,135.2637,133.4015,128.9600,1.233627,-11126.176115,0.02151477483282,1.23280,0.000826,,
,62,POS,163.530944,5.202069,-2.844554,1.822017,1.521066,-1.822017,161.236007,5.129065,-89.314074,155.762646,4.954952,-295.541381,,163.6137,161.3176,155.8414,1.521066,-11127.102554,0.02653294328738,1.52040,0.000662,,
,63,POS,158.325567,14.241167,-2.679433,5.139845,1.472740,-5.139845,156.111341,14.042000,-89.150859,150.830476,13.566994,-295.382712,,158.9648,156.7416,151.4394,1.472740,-11126.937433,0.02568915698088,1.47204,0.000698,,
,64,POS,153.117660,23.321177,-2.538751,8.660099,1.430729,-8.660099,150.982523,22.995977,-89.011784,145.890283,22.220384,-295.247468,,154.8835,152.7237,147.5728,1.430729,-11126.796751,0.02495559953479,1.43000,0.000730,,
,65,POS,147.918667,32.352849,-2.422347,12.337476,1.395320,-12.337476,145.860990,31.902792,-88.896698,140.953489,30.829421,-295.135526,,151.4155,149.3091,144.2856,1.395320,-11126.680347,0.02433735838446,1.39457,0.000754,,
,66,POS,142.685037,41.415900,-2.329129,16.185952,1.366503,-16.185952,140.703975,40.840875,-88.804529,135.979201,39.469458,-295.045858,,148.5742,146.5114,141.5916,1.366503,-11126.587129,0.02383419998248,1.36573,0.000775,,
,67,POS,137.436514,50.486772,-2.259620,20.170613,1.344727,-20.170613,135.531051,49.786807,-88.735797,130.986574,48.117411,-294.978981,,146.4162,144.3863,139.5449,1.344727,-11126.517620,0.02345401030130,1.34394,0.000788,,
,68,POS,132.202886,59.588974,-2.214985,24.262939,1.330607,-24.262939,130.371662,58.763570,-88.691660,126.004246,56.795006,-294.93603,,145.0119,143.0032,138.2127,1.330607,-11126.472985,0.02320749638495,1.32981,0.000796,,
,69,POS,126.978911,68.612156,-2.193495,28.384256,1.323769,-28.384256,125.220823,67.662185,-88.670409,121.027834,65.396533,-294.91535,,144.3304,142.3321,137.5661,1.323769,-11126.451495,0.02308811394225,1.32297,0.000800,,
,70,POS,121.778363,77.687710,-2.197208,32.535573,1.324952,-32.535573,120.092151,76.612002,-88.674081,116.070584,74.04647,-294.918923,,144.4484,142.4483,137.6781,1.324952,-11126.455208,0.02310877311546,1.32415,0.000799,,
,71,POS,173.943870,5.202169,-3.233037,1.713044,1.631208,-1.713044,171.482652,5.128561,-89.697983,165.612718,4.953008,-295.914382,,174.0216,171.5593,165.6868,1.631208,-11127.491037,0.02845578690911,1.63062,0.000591,,
,72,POS,168.738956,14.240451,-3.055031,4.823954,1.581307,-4.823954,166.360400,14.039717,-89.522089,160.687613,13.560971,-295.743524,,169.3388,166.9518,161.2588,1.581307,-11127.313031,0.02758466832401,1.58069,0.000621,,
,73,POS,163.531281,23.302369,-2.901472,8.109760,1.537499,-8.109760,161.233591,22.974960,-89.370330,155.753669,22.194099,-295.596058,,165.1832,162.8623,157.3270,1.537499,-11127.159472,0.02681985427231,1.53685,0.000650,,
,74,POS,158.330800,32.347757,-2.772446,11.546901,1.500085,-11.546901,156.112195,31.894485,-89.242801,150.820885,30.813445,-295.472099,,161.6014,159.3370,153.9364,1.500085,-11127.030446,0.02616660860666,1.49941,0.000678,,
,75,FIF,153.098887,41.393265,-2.666555,15.129304,1.468928,-15.129304,150.958332,40.814524,-89.138129,145.853171,39.434245,-295.370334,,158.5959,156.3785,151.0901,1.468928,-11126.924555,0.02562257987830,1.46823,0.000702,,
,76,POS,147.850932,50.487573,-2.584842,18.853814,1.444583,-18.853814,145.787264,49.782879,-89.057350,140.865473,48.102205,-295.291783,,156.2335,154.0528,148.8520,1.444583,-11126.842842,0.02519751575533,1.44386,0.000719,,
,77,POS,142.618180,59.596960,-2.528094,22.678963,1.427512,-22.678963,140.629891,58.766098,-89.001248,135.887881,56.784518,-295.237222,,154.5695,152.4146,147.2752,1.427512,-11126.786094,0.02489943321651,1.42678,0.000732,,
,78,POS,137.394166,68.637151,-2.494814,26.545054,1.417436,-26.545054,135.480028,67.680917,-88.968346,130.914863,65.400326,-295.20522,,153.5846,151.4449,146.3417,1.417436,-11126.752814,0.02472350709943,1.41670,0.000739,,
,79,POS,132.194081,77.680593,-2.486192,30.439575,1.414817,-30.439575,130.352718,76.598561,-88.959822,125.961118,74.017946,-295.196929,,153.3282,151.1925,146.0988,1.414818,-11126.744192,0.02467776910951,1.41408,0.000741,,
,80,POS,184.356463,5.202278,-3.647476,1.616377,1.744286,-1.616377,181.724552,5.128009,-90.107395,175.447518,4.95088,-296.311802,,184.4298,181.7969,175.5174,1.744286,-11127.905476,0.03042945261928,1.74375,0.000538,,
,81,POS,179.152070,14.237881,-3.456608,4.543958,1.692702,-4.543958,176.604985,14.035455,-89.918862,170.53026,13.552674,-296.128839,,179.7169,177.1618,171.0680,1.692702,-11127.714608,0.02952914382533,1.69214,0.000561,,
,82,POS,173.944624,23.313286,-3.290323,7.633693,1.647084,-7.633693,171.480382,22.983011,-89.754584,165.603237,22.195314,-295.969348,,175.5000,173.0137,167.0840,1.647084,-11127.548323,0.02873291748804,1.64650,0.000582,,
,83,POS,168.742846,32.358998,-3.148597,10.855548,1.607648,-10.855548,166.359509,31.901957,-89.614549,160.675318,30.811928,-295.833345,,171.8175,169.3907,163.6030,1.607648,-11127.406597,0.02804451776748,1.60704,0.000605,,
,84,POS,163.512702,41.389721,-3.030031,14.204823,1.574225,-14.204823,161.209035,40.806597,-89.497384,155.714855,39.415864,-295.719521,,168.6698,166.2935,160.6260,1.574225,-11127.288031,0.02746102907667,1.57360,0.000626,,
,85,POS,158.265131,50.453724,-2.935460,17.681887,1.547260,-17.681887,156.039842,49.744319,-89.403922,150.732592,48.052408,-295.628703,,166.1127,163.7771,158.2067,1.547260,-11127.193460,0.02699026847721,1.54662,0.000644,,
,86,POS,153.033251,59.588635,-2.866668,21.275122,1.527464,-21.275122,150.884636,58.752000,-89.335932,145.760253,56.756649,-295.562625,,164.2254,161.9196,156.4205,1.527464,-11127.124668,0.02664463975434,1.52681,0.000658,,
,87,POS,147.809242,68.640326,-2.821366,24.909427,1.514339,-24.909427,145.735946,67.677520,-89.291155,140.791195,65.381254,-295.519103,,162.9695,160.6836,155.2317,1.514339,-11127.079366,0.02641548339987,1.51367,0.000667,,
,88,POS,142.609571,77.685414,-2.800809,28.578983,1.508360,-28.578983,140.610072,76.596203,-89.270836,135.841324,73.998466,-295.499352,,162.3962,160.1192,154.6888,1.508360,-11127.058809,0.02631109769792,1.50769,0.000671,,
,89,POS,137.409794,86.716472,-2.803969,32.255174,1.509280,-32.255174,135.483072,85.500558,-89.273960,130.887896,82.600637,-295.502389,,162.4845,160.2061,154.7724,1.509280,-11127.061969,0.02632716627268,1.50861,0.000670,,
,90,POS,194.768763,5.202397,-4.087734,1.530043,1.860603,-1.530043,191.961288,5.127408,-90.542129,185.265542,4.94856,-296.733363,,194.8382,192.0298,185.3316,1.860602,-11128.345734,0.03245926246902,1.86011,0.000498,,
,91,POS,189.564948,14.231336,-3.884058,4.293351,1.807212,-4.293351,186.844689,14.027116,-90.341033,180.35695,13.540058,-296.538419,,190.0984,187.3705,180.8645,1.807212,-11128.142058,0.03152760682912,1.80670,0.000514,,
,92,POS,184.357651,23.280410,-3.704860,7.197131,1.759647,-7.197131,181.722440,22.947640,-90.164070,175.437538,22.153992,-296.366786,,185.8217,183.1656,176.8308,1.759647,-11127.962860,0.03069752425707,1.75911,0.000532,,
,93,POS,179.154623,32.342155,-3.550453,10.233190,1.718163,-10.233190,176.602341,31.881401,-90.011563,170.515221,30.782514,-296.218812,,182.0505,179.4570,173.2715,1.718163,-11127.808453,0.02997352834883,1.71761,0.000549,,
